Time	Node	Type	Packets	
1	0	CacheHits	1
1	0	CacheMisses	103
1	1	CacheHits	1
1	1	CacheMisses	102
1	2	CacheHits	1
1	2	CacheMisses	101
1	3	CacheHits	1
1	3	CacheMisses	100
1	4	CacheHits	1
1	4	CacheMisses	99
2	0	CacheHits	4
2	0	CacheMisses	96
2	1	CacheHits	1
2	1	CacheMisses	95
2	2	CacheHits	0
2	2	CacheMisses	95
2	3	CacheHits	0
2	3	CacheMisses	95
2	4	CacheHits	0
2	4	CacheMisses	95
3	0	CacheHits	0
3	0	CacheMisses	99
3	1	CacheHits	4
3	1	CacheMisses	95
3	2	CacheHits	0
3	2	CacheMisses	96
3	3	CacheHits	3
3	3	CacheMisses	93
3	4	CacheHits	1
3	4	CacheMisses	92
4	0	CacheHits	5
4	0	CacheMisses	95
4	1	CacheHits	3
4	1	CacheMisses	92
4	2	CacheHits	0
4	2	CacheMisses	92
4	3	CacheHits	3
4	3	CacheMisses	89
4	4	CacheHits	1
4	4	CacheMisses	88
5	0	CacheHits	17
5	0	CacheMisses	83
5	1	CacheHits	2
5	1	CacheMisses	81
5	2	CacheHits	4
5	2	CacheMisses	77
5	3	CacheHits	0
5	3	CacheMisses	77
5	4	CacheHits	0
5	4	CacheMisses	77
6	0	CacheHits	6
6	0	CacheMisses	94
6	1	CacheHits	4
6	1	CacheMisses	90
6	2	CacheHits	1
6	2	CacheMisses	89
6	3	CacheHits	0
6	3	CacheMisses	89
6	4	CacheHits	2
6	4	CacheMisses	87
7	0	CacheHits	7
7	0	CacheMisses	93
7	1	CacheHits	5
7	1	CacheMisses	88
7	2	CacheHits	2
7	2	CacheMisses	86
7	3	CacheHits	1
7	3	CacheMisses	85
7	4	CacheHits	2
7	4	CacheMisses	84
8	0	CacheHits	8
8	0	CacheMisses	92
8	1	CacheHits	6
8	1	CacheMisses	87
8	2	CacheHits	2
8	2	CacheMisses	85
8	3	CacheHits	0
8	3	CacheMisses	85
8	4	CacheHits	0
8	4	CacheMisses	84
9	0	CacheHits	4
9	0	CacheMisses	96
9	1	CacheHits	7
9	1	CacheMisses	88
9	2	CacheHits	3
9	2	CacheMisses	85
9	3	CacheHits	0
9	3	CacheMisses	85
9	4	CacheHits	1
9	4	CacheMisses	84
10	0	CacheHits	13
10	0	CacheMisses	87
10	1	CacheHits	2
10	1	CacheMisses	86
10	2	CacheHits	4
10	2	CacheMisses	82
10	3	CacheHits	4
10	3	CacheMisses	78
10	4	CacheHits	0
10	4	CacheMisses	79
11	0	CacheHits	0
11	0	CacheMisses	1
11	1	CacheHits	0
11	1	CacheMisses	0
11	2	CacheHits	0
11	2	CacheMisses	1
11	3	CacheHits	0
11	3	CacheMisses	2
11	4	CacheHits	0
11	4	CacheMisses	2
12	0	CacheHits	0
12	0	CacheMisses	0
12	1	CacheHits	0
12	1	CacheMisses	0
12	2	CacheHits	0
12	2	CacheMisses	0
12	3	CacheHits	0
12	3	CacheMisses	0
12	4	CacheHits	0
12	4	CacheMisses	0
13	0	CacheHits	0
13	0	CacheMisses	0
13	1	CacheHits	0
13	1	CacheMisses	0
13	2	CacheHits	0
13	2	CacheMisses	0
13	3	CacheHits	0
13	3	CacheMisses	0
13	4	CacheHits	0
13	4	CacheMisses	0
14	0	CacheHits	0
14	0	CacheMisses	0
14	1	CacheHits	0
14	1	CacheMisses	0
14	2	CacheHits	0
14	2	CacheMisses	0
14	3	CacheHits	0
14	3	CacheMisses	0
14	4	CacheHits	0
14	4	CacheMisses	0
15	0	CacheHits	0
15	0	CacheMisses	0
15	1	CacheHits	0
15	1	CacheMisses	0
15	2	CacheHits	0
15	2	CacheMisses	0
15	3	CacheHits	0
15	3	CacheMisses	0
15	4	CacheHits	0
15	4	CacheMisses	0
16	0	CacheHits	0
16	0	CacheMisses	0
16	1	CacheHits	0
16	1	CacheMisses	0
16	2	CacheHits	0
16	2	CacheMisses	0
16	3	CacheHits	0
16	3	CacheMisses	0
16	4	CacheHits	0
16	4	CacheMisses	0
17	0	CacheHits	0
17	0	CacheMisses	0
17	1	CacheHits	0
17	1	CacheMisses	0
17	2	CacheHits	0
17	2	CacheMisses	0
17	3	CacheHits	0
17	3	CacheMisses	0
17	4	CacheHits	0
17	4	CacheMisses	0
18	0	CacheHits	0
18	0	CacheMisses	0
18	1	CacheHits	0
18	1	CacheMisses	0
18	2	CacheHits	0
18	2	CacheMisses	0
18	3	CacheHits	0
18	3	CacheMisses	0
18	4	CacheHits	0
18	4	CacheMisses	0
19	0	CacheHits	0
19	0	CacheMisses	0
19	1	CacheHits	0
19	1	CacheMisses	0
19	2	CacheHits	0
19	2	CacheMisses	0
19	3	CacheHits	0
19	3	CacheMisses	0
19	4	CacheHits	0
19	4	CacheMisses	0
