Time	Node	Type	Packets	
1	0	CacheHits	1
1	0	CacheMisses	103
1	1	CacheHits	3
1	1	CacheMisses	100
1	2	CacheHits	1
1	2	CacheMisses	99
1	3	CacheHits	1
1	3	CacheMisses	98
1	4	CacheHits	1
1	4	CacheMisses	97
2	0	CacheHits	2
2	0	CacheMisses	97
2	1	CacheHits	1
2	1	CacheMisses	97
2	2	CacheHits	1
2	2	CacheMisses	96
2	3	CacheHits	0
2	3	CacheMisses	96
2	4	CacheHits	0
2	4	CacheMisses	96
3	0	CacheHits	2
3	0	CacheMisses	97
3	1	CacheHits	0
3	1	CacheMisses	97
3	2	CacheHits	2
3	2	CacheMisses	96
3	3	CacheHits	2
3	3	CacheMisses	95
3	4	CacheHits	1
3	4	CacheMisses	94
4	0	CacheHits	3
4	0	CacheMisses	97
4	1	CacheHits	2
4	1	CacheMisses	95
4	2	CacheHits	4
4	2	CacheMisses	91
4	3	CacheHits	0
4	3	CacheMisses	90
4	4	CacheHits	0
4	4	CacheMisses	90
5	0	CacheHits	4
5	0	CacheMisses	96
5	1	CacheHits	5
5	1	CacheMisses	91
5	2	CacheHits	4
5	2	CacheMisses	87
5	3	CacheHits	1
5	3	CacheMisses	86
5	4	CacheHits	0
5	4	CacheMisses	86
6	0	CacheHits	3
6	0	CacheMisses	97
6	1	CacheHits	4
6	1	CacheMisses	93
6	2	CacheHits	0
6	2	CacheMisses	93
6	3	CacheHits	0
6	3	CacheMisses	93
6	4	CacheHits	1
6	4	CacheMisses	92
7	0	CacheHits	8
7	0	CacheMisses	92
7	1	CacheHits	3
7	1	CacheMisses	89
7	2	CacheHits	3
7	2	CacheMisses	86
7	3	CacheHits	0
7	3	CacheMisses	86
7	4	CacheHits	1
7	4	CacheMisses	86
8	0	CacheHits	6
8	0	CacheMisses	94
8	1	CacheHits	2
8	1	CacheMisses	93
8	2	CacheHits	4
8	2	CacheMisses	89
8	3	CacheHits	1
8	3	CacheMisses	88
8	4	CacheHits	0
8	4	CacheMisses	87
9	0	CacheHits	7
9	0	CacheMisses	93
9	1	CacheHits	4
9	1	CacheMisses	88
9	2	CacheHits	0
9	2	CacheMisses	88
9	3	CacheHits	2
9	3	CacheMisses	86
9	4	CacheHits	0
9	4	CacheMisses	86
10	0	CacheHits	7
10	0	CacheMisses	93
10	1	CacheHits	7
10	1	CacheMisses	86
10	2	CacheHits	3
10	2	CacheMisses	83
10	3	CacheHits	2
10	3	CacheMisses	81
10	4	CacheHits	2
10	4	CacheMisses	80
11	0	CacheHits	0
11	0	CacheMisses	1
11	1	CacheHits	0
11	1	CacheMisses	1
11	2	CacheHits	0
11	2	CacheMisses	2
11	3	CacheHits	0
11	3	CacheMisses	3
11	4	CacheHits	0
11	4	CacheMisses	3
12	0	CacheHits	0
12	0	CacheMisses	0
12	1	CacheHits	0
12	1	CacheMisses	0
12	2	CacheHits	0
12	2	CacheMisses	0
12	3	CacheHits	0
12	3	CacheMisses	0
12	4	CacheHits	0
12	4	CacheMisses	0
13	0	CacheHits	0
13	0	CacheMisses	0
13	1	CacheHits	0
13	1	CacheMisses	0
13	2	CacheHits	0
13	2	CacheMisses	0
13	3	CacheHits	0
13	3	CacheMisses	0
13	4	CacheHits	0
13	4	CacheMisses	0
14	0	CacheHits	0
14	0	CacheMisses	0
14	1	CacheHits	0
14	1	CacheMisses	0
14	2	CacheHits	0
14	2	CacheMisses	0
14	3	CacheHits	0
14	3	CacheMisses	0
14	4	CacheHits	0
14	4	CacheMisses	0
15	0	CacheHits	0
15	0	CacheMisses	0
15	1	CacheHits	0
15	1	CacheMisses	0
15	2	CacheHits	0
15	2	CacheMisses	0
15	3	CacheHits	0
15	3	CacheMisses	0
15	4	CacheHits	0
15	4	CacheMisses	0
16	0	CacheHits	0
16	0	CacheMisses	0
16	1	CacheHits	0
16	1	CacheMisses	0
16	2	CacheHits	0
16	2	CacheMisses	0
16	3	CacheHits	0
16	3	CacheMisses	0
16	4	CacheHits	0
16	4	CacheMisses	0
17	0	CacheHits	0
17	0	CacheMisses	0
17	1	CacheHits	0
17	1	CacheMisses	0
17	2	CacheHits	0
17	2	CacheMisses	0
17	3	CacheHits	0
17	3	CacheMisses	0
17	4	CacheHits	0
17	4	CacheMisses	0
18	0	CacheHits	0
18	0	CacheMisses	0
18	1	CacheHits	0
18	1	CacheMisses	0
18	2	CacheHits	0
18	2	CacheMisses	0
18	3	CacheHits	0
18	3	CacheMisses	0
18	4	CacheHits	0
18	4	CacheMisses	0
19	0	CacheHits	0
19	0	CacheMisses	0
19	1	CacheHits	0
19	1	CacheMisses	0
19	2	CacheHits	0
19	2	CacheMisses	0
19	3	CacheHits	0
19	3	CacheMisses	0
19	4	CacheHits	0
19	4	CacheMisses	0
